Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-19 21:45:27,2023-03-19 21:45:32,5.019s,PASSED
"navigateToUrl(""https://www.saucedemo.com/"")",Chrome 111.0.0.0,,,2023-03-19 21:45:32,2023-03-19 21:45:34,2.337s,PASSED
"doubleClick(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Swag Labs_user-name""))",Chrome 111.0.0.0,,,2023-03-19 21:45:34,2023-03-19 21:45:35,1.075s,PASSED
"setText(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Swag Labs_user-name""), ""standard_user"")",Chrome 111.0.0.0,,,2023-03-19 21:45:35,2023-03-19 21:45:38,2.690s,PASSED
"setEncryptedText(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Swag Labs_password""), ""qcu24s4901FyWDTwXGr6XA=="")",Chrome 111.0.0.0,,,2023-03-19 21:45:38,2023-03-19 21:45:39,0.762s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Swag Labs_login-button""))",Chrome 111.0.0.0,,,2023-03-19 21:45:39,2023-03-19 21:45:40,1.098s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Add to cart""))",Chrome 111.0.0.0,,,2023-03-19 21:45:40,2023-03-19 21:45:41,1.028s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Add to cart_1""))",Chrome 111.0.0.0,,,2023-03-19 21:45:41,2023-03-19 21:45:42,0.981s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Add to cart_1_2""))",Chrome 111.0.0.0,,,2023-03-19 21:45:42,2023-03-19 21:45:44,1.521s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Add to cart_1_2_3""))",Chrome 111.0.0.0,,,2023-03-19 21:45:44,2023-03-19 21:45:44,0.685s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/a_4""))",Chrome 111.0.0.0,,,2023-03-19 21:45:44,2023-03-19 21:45:45,1.053s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Checkout""))",Chrome 111.0.0.0,,,2023-03-19 21:45:45,2023-03-19 21:45:46,0.644s,PASSED
"setText(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Checkout Your Information_firstName""), ""cart03"")",Chrome 111.0.0.0,,,2023-03-19 21:45:46,2023-03-19 21:45:47,1.338s,PASSED
"setText(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Checkout Your Information_lastName""), ""cart cart"")",Chrome 111.0.0.0,,,2023-03-19 21:45:47,2023-03-19 21:45:48,1.041s,PASSED
"setText(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Checkout Your Information_postalCode""), ""1234"")",Chrome 111.0.0.0,,,2023-03-19 21:45:48,2023-03-19 21:45:49,0.875s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/input_Cancel_continue""))",Chrome 111.0.0.0,,,2023-03-19 21:45:49,2023-03-19 21:45:50,0.634s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Finish""))",Chrome 111.0.0.0,,,2023-03-19 21:45:50,2023-03-19 21:45:50,0.536s,PASSED
"click(findTestObject(""Object Repository/S02_Cart/cart03/Page_Swag Labs/button_Back Home""))",Chrome 111.0.0.0,,,2023-03-19 21:45:50,2023-03-19 21:45:51,0.562s,PASSED
closeBrowser(),Chrome 111.0.0.0,,,2023-03-19 21:45:51,2023-03-19 21:45:52,1.191s,PASSED
